"","POS","NEG","POS/NEG","SENT"
"1","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"2","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"3","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"4","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"5","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"6","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"7","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"8","26.3638546370209","0.445453222112551","59.1843392937894","positive"
"9","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"10","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"11","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"12","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"13","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"14","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"15","51.6964315326162","8.78232285939751","5.88641893041982","positive"
"16","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"17","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"18","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"19","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"20","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"21","16.5333679773693","0.445453222112551","37.1158342933523","positive"
"22","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"23","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"24","25.670707456461","0.445453222112551","57.6282899800754","positive"
"25","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"26","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"27","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"28","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"29","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"30","9.47547003995745","8.78232285939751","1.07892526745566","neutral"
"31","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"32","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"33","9.47547003995745","9.47547003995745","1","neutral"
"34","9.47547003995745","9.47547003995745","1","neutral"
"35","25.670707456461","0.445453222112551","57.6282899800754","positive"
"36","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"37","17.2265151579293","0.445453222112551","38.6718836070664","positive"
"38","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"39","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"40","16.5333679773693","0.445453222112551","37.1158342933523","positive"
"41","1.03127774142571","8.78232285939751","0.117426534862834","negative"
"42","9.47547003995745","9.47547003995745","1","neutral"
"43","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"44","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"45","1.03127774142571","18.5054868578024","0.0557282145209216","negative"
"46","9.47547003995745","9.47547003995745","1","neutral"
"47","9.47547003995745","9.47547003995745","1","neutral"
"48","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"49","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"50","17.2265151579293","9.47547003995745","1.81801167491282","positive"
"51","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"52","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"53","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"54","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"55","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"56","17.9196623384892","9.47547003995745","1.89116342122587","positive"
"57","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"58","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"59","34.8080469355527","8.78232285939751","3.96342146523416","positive"
"60","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"61","8.78232285939751","0.445453222112551","19.7154772340574","positive"
"62","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"63","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"64","9.47547003995745","9.47547003995745","1","neutral"
"65","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"66","17.9196623384892","18.5054868578024","0.968343198759661","neutral"
"67","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"68","17.9196623384892","17.8123396772424","1.00602518608961","neutral"
"69","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"70","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"71","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"72","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"73","9.47547003995745","9.47547003995745","1","neutral"
"74","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"75","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"76","9.47547003995745","9.47547003995745","1","neutral"
"77","9.47547003995745","9.47547003995745","1","neutral"
"78","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"79","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"80","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"81","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"82","9.47547003995745","9.47547003995745","1","neutral"
"83","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"84","17.9196623384892","0.445453222112551","40.2279329207804","positive"
"85","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"86","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"87","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"88","9.47547003995745","0.445453222112551","21.2715265477714","positive"
"89","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"90","1.03127774142571","0.445453222112551","2.31512017476245","positive"
"91","17.2265151579293","17.8123396772424","0.967111309916146","neutral"
