"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"935","RT @amazon: Introducing #AmazonGo, a new kind of store with no lines and no checkout. https://t.co/WMii0bWevi https://t.co/OmZdzobA5F",FALSE,0,NA,2016-12-12 12:41:00,FALSE,NA,"808290556589834240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gopanpj",21839,TRUE,FALSE,NA,NA,"Mumbai","en","http://pbs.twimg.com/profile_images/729211060922638336/X05hXTIH_normal.jpg"
"936","#AmazonGo trademark has been registered in the UK. Could the cashless, till-less, queue-less store be on its way?… https://t.co/pDpTxoz0Oq",FALSE,0,NA,2016-12-12 12:30:02,TRUE,NA,"808287794283982848",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RetailAssist",0,FALSE,FALSE,NA,NA,"Nottingham, England","en","http://pbs.twimg.com/profile_images/529254792711782401/xJU_LbXr_normal.png"
"937","This #Machine Will #Bag Your #Groceries by Itself.  #AI  #Autonomous  #AmazonGo #Panasonic   #Video #Amazon… https://t.co/8UuBWWlpyr",FALSE,1,NA,2016-12-12 12:22:15,TRUE,NA,"808285835619696641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DSTT4ME",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/577760591181324288/aO3XmF12_normal.jpeg"
"938","RT @SakshiSDI: How to Build an App like #AmazonGo for Your Mom and Pop Store https://t.co/2kZunHHhWs",FALSE,0,NA,2016-12-12 12:18:17,FALSE,NA,"808284838994132992",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LeoLawrence318",1,TRUE,FALSE,NA,NA,"California, USA","en","http://pbs.twimg.com/profile_images/562949007622668288/6aE2djAc_normal.jpeg"
"939","How to Build an App like #AmazonGo for Your Mom and Pop Store https://t.co/2kZunHHhWs",FALSE,0,NA,2016-12-12 12:14:52,FALSE,NA,"808283978281009154",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SakshiSDI",1,FALSE,FALSE,NA,NA,"California","en","http://pbs.twimg.com/profile_images/659705049438793728/FWPuPXJu_normal.jpg"
"940","#AmazonGo Will Not Kill #Retail As We Know It [Recommended Good Read] https://t.co/s0ziZ09kvx",FALSE,0,NA,2016-12-12 12:12:56,FALSE,NA,"808283493809655808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rahulogy",0,FALSE,FALSE,NA,NA,"NYC / AMD","en","http://pbs.twimg.com/profile_images/776777422440058882/1wZsxWCa_normal.jpg"
"941","RT @feliperibeiros: Promising — #AmazonGo is a new kind of store with no lines and no checkout. Watch the video: https://t.co/Z4BEzD4sg3 vi…",FALSE,0,NA,2016-12-12 12:08:05,FALSE,NA,"808282272596131840",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","felipeminella",1,TRUE,FALSE,NA,NA,"London, UK","en","http://pbs.twimg.com/profile_images/753722120769826817/mQDgjuln_normal.jpg"
"942","Amazon Go is a brilliant tweaking of the convenience store
https://t.co/mew3IMnkk2
#amazongo #ecommerce #retail",FALSE,0,NA,2016-12-12 12:01:41,FALSE,NA,"808280660528001024",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","mapmechanics",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/703225202/mm_only_logo_normal.PNG"
"943","Amazon Go is a brilliant tweaking of the convenience store
https://t.co/4wE95srpKF
#amazongo #ecommerce #retail",FALSE,0,NA,2016-12-12 12:01:41,FALSE,NA,"808280660473430016",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","allmapdata",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/639466568859131904/2vmnYW_7_normal.png"
"944","#AmazonGo: is the store of the future already outdated? Read more from @raygaul on the Kantar #Retail IQ blog&gt;&gt;https://t.co/aknaRZDQ4z",FALSE,2,NA,2016-12-12 12:01:03,FALSE,NA,"808280500427112448",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KantarRetail",1,FALSE,FALSE,NA,NA,"Global","en","http://pbs.twimg.com/profile_images/773904235838701568/Kvkt_pih_normal.jpg"
